Medicine,Symptom_Count,Max_Grade,Chapters_Covered,Top_Chapters,Aggravations_Sample,Ameliorations_Sample,Mind_Rubrics_Sample,Key_Rubrics_Sample
brom,653,2,20,HEAD(107); ABDOMEN(82); MIND(58); STOMACH(51); NOSE(49); EAR(43),"COMPANY aversion to / alone, while agg. | CONFUSION, thinking of it agg. / writing, while | CONSTRICTION, morning (agg.) / band or hoop | CRAWLING in (See Formication, Itching) / smoking agg. | HÆMORRHOIDS, ulcerating / walking agg. | LYING, while (agg.) / while | PAIN / walking agg. | PAIN / warm bathing agg. | PAIN, clothing about the neck agg. / amel. | PAIN, clothing about the neck agg. / coughing, on | PAIN, cramping, griping, sitting, while (agg.) / smoking, after | PAIN, drawing up the limbs amel. / hot drinks agg. | PAIN, evening, on reading and writing / pressure agg. | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / amel. | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / inspiration, during an","CRAWLING in (See Formication, Itching) / amel. | HEAT, cold water, amel. / Forehead | HEAT, cold water, amel. / Occiput | HEAVINESS, afternoon, 4 p.m. / amel. | HÆMORRHOIDS, bluish / cold amel. | ITCHING, behind ear, noon / scratching amel. | NAUSEA, abdomen, on compressing / amel. | PAIN, clothing about the neck agg. / amel. | PAIN, cramping, cold drinks, after / amel. | PAIN, cramping, griping, bending forward amel. / during | PAIN, cramping, griping, bending forward amel. / inspiration, on | PAIN, cramping, griping, bending forward amel. / menses, before | PAIN, cramping, griping, bending forward amel. / motion, on | PAIN, cramping, griping, bending forward amel. / pressure amel. | PAIN, doubling up (See Bending) / amel.","BUSINESS, averse to | CAPRICIOUSNESS | CARRIED, desires to be | CARRIED, desires to be / fast | CARRIED, desires to be / in croup | CHEERFUL, gay, happy (See Mirth) | COMPANY aversion to / alone, while agg. | COMPANY aversion to / desire for | COMPANY aversion to / evening | CONCENTRATION active / difficult | CONFUSION of mind (See Concentration) | CONFUSION of mind (See Concentration) / lying down, on | CONFUSION of mind (See Concentration) / lying, when | CONFUSION, thinking of it agg. / writing, while | DELUSIONS, conspiracies against her father, thought the landlord's bills were / persons, sees","[g2|MIND] CARRIED, desires to be / in croup | [g2|MIND] COMPANY aversion to / evening | [g2|MIND] CONFUSION of mind (See Concentration) / lying down, on | [g2|MIND] CONFUSION of mind (See Concentration) / lying, when | [g2|MIND] DELUSIONS, images, phantoms, closing the eyes, on, in bed / jumped up on the ground before her, all sorts of things | [g2|MIND] DELUSIONS, shoulder, thinks people are looking over his / shoulder, thinks people are looking over his | [g2|MIND] DELUSIONS, shoulder, thinks people are looking over his / evening, feels as if spectre would appear | [g2|MIND] DELUSIONS, stabbed, that he had, a person who passed him on the street / looking over shoulder | [g2|MIND] DELUSIONS, travelling, of, through worlds / evening | [g2|MIND] DISCONCERTED | [g2|MIND] FEAR (See Anxiety) / evening | [g2|MIND] FEAR, dawn, of the return of / evening | [g2|VERTIGO] EVENING / bed, in | [g2|VERTIGO] DAMP weather | [g2|HEAD] ERUPTION, crusts, scabs, bloody / malignant | [g2|HEAD] FULLNESS, morning, 10 a.m. to 10 p.m. / before | [g2|HEAD] HEAVINESS, afternoon, 4 p.m. / amel. | [g2|HEAD] HEAVINESS, afternoon, 4 p.m. / of sun | [g2|HEAD] HEAVINESS, forehead, all would come out, as if / heat of sun | [g2|HEAD] PAIN, forenoon, 8 a.m. / 3 to 4 p.m."
brown,1,1,1,MOUTH(1),,,,
bruc,3,1,3,HEAD(1); VISION(1); MOUTH(1),,"PAIN, rising, from sitting, amel. / sun, from exposure to",,
bry,2154,2,22,HEAD(445); STOMACH(286); MIND(236); ABDOMEN(228); FACE(125); RECTUM(115),"AGGLUTINATED | AGGLUTINATED / morning | AGGLUTINATED / night | ANXIETY, evening, bed, in (agg.) / amel. | ANXIETY, evening, bed, in (agg.) / bed, in | ANXIETY, evening, bed, in (agg.) / midnight, before | ANXIETY, evening, bed, in (agg.) / night | ANXIETY, flatus, from (agg.) / future, about | ANXIETY, flatus, from (agg.) / health, about | ANXIETY, flatus, from (agg.) / house, in | ANXIETY, flatus, from (agg.) / thinking about it, from | CHOKING, clothing agg. / swallowing, on (Compare Retching under Stomach) | COLD agg. / amel. | CONFUSION, thinking of it agg. / amel. | CONFUSION, thinking of it agg. / waking, on","ANXIETY, evening, bed, in (agg.) / amel. | CATARRH / air, open, amel. | COLD agg. / amel. | CONFUSION of mind (See Concentration) / amel. | CONFUSION of mind (See Concentration) / eructations amel. | CONFUSION, thinking of it agg. / amel. | CONFUSION, thinking of it agg. / yawning amel. | CORYZA, daytime / amel. | CRAWLING in (See Formication, Itching) / amel. | DELUSIONS, shoulder, thinks people are looking over his / cutting him down, better on getting cool | DISTENSION / flatus, passing, amel. | ERUCTATIONS / ameliorate | FLATUS / amel. | FULLNESS, morning, 10 a.m. to 10 p.m. / closing eyes amel. | HEAT, cold water, amel. / diarrhœa, during","ANGER, irascibility (See Irritability and Quarrelsome) | ANGER, irascibility (See Irritability and Quarrelsome) / ailments after anger with anxiety | ANGER, irascibility (See Irritability and Quarrelsome) / ailments after anger, vexation, etc. | ANGER, irascibility (See Irritability and Quarrelsome) / contradiction, from | ANGER, irascibility (See Irritability and Quarrelsome) / evening | ANGER, irascibility (See Irritability and Quarrelsome) / violent | ANSWERS, abruptly, shortly, curtly / hastily | ANXIETY | ANXIETY / evening | ANXIETY, chill, during / fear, with | ANXIETY, chill, during / fever, during | ANXIETY, evening, bed, in (agg.) / amel. | ANXIETY, evening, bed, in (agg.) / bed, in | ANXIETY, evening, bed, in (agg.) / midnight, before | ANXIETY, evening, bed, in (agg.) / night","[g2|MIND] ANGER, irascibility (See Irritability and Quarrelsome) | [g2|MIND] ANXIETY | [g2|MIND] ANXIETY, flatus, from (agg.) / future, about | [g2|MIND] ASKS for nothing | [g2|MIND] BUSINESS, averse to / talks of | [g2|MIND] CAPRICIOUSNESS | [g2|MIND] CONFUSION of mind (See Concentration) | [g2|MIND] CONFUSION of mind (See Concentration) / eructations amel. | [g2|MIND] CONFUSION of mind (See Concentration) / riding, while | [g2|MIND] CONFUSION, thinking of it agg. / amel. | [g2|MIND] CONFUSION, thinking of it agg. / yawning amel. | [g2|MIND] DELIRIUM | [g2|MIND] DELIRIUM / at daybreak | [g2|MIND] DELIRIUM / muttering | [g2|MIND] DELIRIUM / quiet | [g2|MIND] DELUSIONS, conspiracies against her father, thought the landlord's bills were / delirious, at night, expected to become | [g2|MIND] DELUSIONS, head, heavy, his own seemed too / heavy, his own seemed too | [g2|MIND] DELUSIONS, head, heavy, his own seemed too / think is away from | [g2|MIND] DELUSIONS, images, phantoms, closing the eyes, on, in bed / is being injured | [g2|MIND] DELUSIONS, shoulder, thinks people are looking over his / cutting him down, better on getting cool"
bufo,553,2,20,MIND(94); HEAD(74); STOMACH(54); MOUTH(47); ABDOMEN(46); EYE(42),"ANXIETY, flatus, from (agg.) / waking, on | PAIN, afternoon, 3 p.m. / cold applications agg. | PAIN, bending head, to one side (agg.) / after | PAIN, burning, raw and smarting / cold water agg. | PAIN, clothing about the neck agg. / after | PAIN, clothing about the neck agg. / amel. | PAIN, clothing about the neck agg. / cold applications amel. | PAIN, cramping, griping, sitting, while (agg.) / Hypochondria | PAIN, cutting, sleep, during (agg.) / Occiput | PAIN, drawing, inguinal region, extending, to, thighs / motion agg. | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / and decreasing gradually | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / artificial, from | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / light, in general, from | PAIN, morning (agg.) / waking, on | PAIN, sore, bruised, jarring agg. / Forehead","DULLNESS, sluggishness, difficulty of thinking and comprehending / amel. | HEAT, cold water, amel. / coldness of body, with | HEAT, cold water, amel. / epistaxis amel. | HEAT, cold water, amel. / extremities, with | PAIN, clothing about the neck agg. / amel. | PAIN, clothing about the neck agg. / cold applications amel. | PAIN, forenoon, 8 a.m. / amel. | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / and decreasing gradually | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / artificial, from | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / light, in general, from | PAIN, listening to reading and talking / amel. | PAIN, pressure, cold hand amel. / pulsating | PAIN, rising, from sitting, amel. / after | PAIN, rising, from sitting, amel. / amel. | PAIN, rising, from sitting, amel. / sitting","ABSENT-MINDED (See Forgetful) | ANGER, irascibility (See Irritability and Quarrelsome) | ANGER, irascibility (See Irritability and Quarrelsome) / convulsion, before | ANGER, irascibility (See Irritability and Quarrelsome) / misunderstood, when | ANGUISH | ANXIETY | ANXIETY, flatus, from (agg.) / waking, on | BITING | CHEERFUL, daytime / evening | CHILDISH behavior (See Foolish) | COMPANY aversion to | COMPANY aversion to / desire for | COMPANY aversion to / desires solitude to practice masturbation | COMPANY aversion to / dreads being alone, yet | COMPANY aversion to / presence of strangers, to","[g2|MIND] ANGER, irascibility (See Irritability and Quarrelsome) / convulsion, before | [g2|MIND] ANGER, irascibility (See Irritability and Quarrelsome) / misunderstood, when | [g2|MIND] COMPANY aversion to / desires solitude to practice masturbation | [g2|MIND] COMPANY aversion to / dreads being alone, yet | [g2|MIND] DULLNESS, sluggishness, difficulty of thinking and comprehending / amel. | [g2|MIND] FEAR (See Anxiety) / animals, of | [g2|MIND] FEAR, labor, after / mirrors in room, of | [g2|MIND] IMBECILITY | [g2|MIND] INSANITY, makes useless purchases / onanism | [g2|MIND] IRRITABILITY (See Anger) / retiring, after | [g2|MIND] LAMENTING, bemoaning, wailing etc. (compare weeping) / crying | [g2|MIND] MEMORY active (See Ideas) / weakness of (See Mistakes) | [g2|MIND] RAGE, fury (See Insanity, Mania, Delirium) / alone, while | [g2|MIND] UNCONSCIOUSNESS, alternating with restlessness during fever / after | [g2|MIND] UNCONSCIOUSNESS, alternating with restlessness during fever / epilepsy, after | [g2|VERTIGO] MORNING / after | [g2|VERTIGO] BREAKFAST, during / after | [g2|VERTIGO] OBJECTS seem to be too far off / inverted | [g2|HEAD] DRAWN backward (See Falling) / epilepsy, before | [g2|HEAD] HEAT, cold water, amel. / epistaxis amel."
bufo-s,18,2,6,MIND(11); EYE(2); FACE(2); HEAD(1); STOMACH(1); RECTUM(1),"PAIN, sore, clothing agg. / stitching",,"COMPANY aversion to | DISCOURAGED | FEAR, labor, after / people, of | FORGETFUL (See Memory) / morning, in | IMBECILITY | IRRESOLUTION | IRRESOLUTION / projects, in | MEMORY active (See Ideas) / happened, for what has | MEMORY active (See Ideas) / weakness of (See Mistakes) | MIRTH, morning, waking, on / evening | WORK, aversion to mental","[g2|MIND] IMBECILITY | [g2|MIND] MEMORY active (See Ideas) / weakness of (See Mistakes) | [g2|MIND] MEMORY active (See Ideas) / happened, for what has"
burning,14,1,11,EYE(2); MOUTH(2); STOMACH(2); HEAD(1); NOSE(1); FACE(1),"PAIN, yawning, when (agg.) / dinner, after","PAIN / walking in open air amel. | PAIN, turning sideways / pressure amel.",,
burnt,1,1,1,MOUTH(1),,,,
burrowing,1,1,1,HEAD(1),,,,
bursting,1,1,1,HEAD(1),,,,
buzzing,1,1,1,EAR(1),,,,
c,183,1,20,HEAD(29); MIND(21); STOMACH(16); ABDOMEN(16); NOSE(13); MOUTH(13),"COMPANY aversion to / alone, while agg. | CONFUSION, thinking of it agg. / waking, on | CONSOLATION agg. | CONSTIPATION, alternate days, agg. / ineffectual urging and straining | GAGGING (See Nausea) | HÆMORRHOIDS, ulcerating / walking agg. | PAIN, air, open, amel. / cold air agg. | PAIN, clothing about the neck agg. / cold applications amel. | PAIN, excitement, from (agg.) / paroxysmal (See Intermittent) | PAIN, paroxysmal pains / pressure, external, agg. | PAIN, temples, stooping, from (agg.) / Forehead | PAIN, temples, stooping, from (agg.) / Temples and Forehead | PAIN, temples, stooping, from (agg.) / Vertex and Forehead | PAIN, warmth, of bed agg. / face | PAIN, weather, warm, begins with the (agg.) / Brain, aching deep in","PAIN, air, open, amel. / amel. | PAIN, air, open, amel. / cold air agg. | PAIN, bending double, amel. / after | PAIN, clothing about the neck agg. / cold applications amel. | PAIN, rising, from sitting, amel. / amel. | PAIN, rising, from sitting, amel. / walking, while (See Motion, Stepping) | PAIN, stool, after, amel. / Hypochondria | SADNESS, morning, rising, after, amel. / menses, before","ANGER, irascibility (See Irritability and Quarrelsome) / ailments after anger, vexation, etc. | COMPANY aversion to / alone, while agg. | CONFUSION, thinking of it agg. / waking, on | CONSOLATION agg. | CONTRADICTION, is intolerant of | DELUSIONS, conspiracies against her father, thought the landlord's bills were / persons, sees | DELUSIONS, shoulder, thinks people are looking over his / sick, imagines himself | EXCITEMENT, excitable | FEAR, dawn, of the return of / ghosts, of | HEEDLESS | IDEAS abundant, forenoon / deficiency of | IMPATIENCE | IRRITABILITY (See Anger) / headache, during | MALICIOUS | MEMORY active (See Ideas) / weakness of (See Mistakes)",
cact,496,2,22,HEAD(134); MIND(69); STOMACH(40); ABDOMEN(36); FACE(33); BLADDER(30),"ANXIETY, evening, bed, in (agg.) / night | ANXIETY, flatus, from (agg.) / waking, on | BREATH, deep, agg. | CHOKING, clothing agg. / clothing agg. | CHOKING, clothing agg. / compelling | CHOKING, clothing agg. / Œsophagus | CLOTHING agg. | CONSOLATION agg. | CONSTIPATION, alternate days, agg. / difficult stool (See Inactivity) | CONSTIPATION, alternate days, agg. / ineffectual urging and straining | CONSTRICTION, morning (agg.) / Vertex | DRAGGING, heaviness, weight | HEAVINESS, forehead, all would come out, as if / back, on while, agg. | IRRITABILITY (See Anger) / consolation agg. | PAIN, air, open, amel. / exertion agg.","DELIRIUM / amel. after | HEAT, cold water, amel. / coldness of body, with | HEAT, cold water, amel. / extremities, with | HEAT, cold water, amel. / feet, with | HEAT, cold water, amel. / mental exertion, from | HEAT, cold water, amel. / redness of face, with | HEAVINESS, afternoon, 4 p.m. / amel. | HEAVINESS, forehead, all would come out, as if / side, on, amel. | HEAVINESS, motion, of eyes, on / pressure amel. | PAIN, air, open, amel. / amel. | PAIN, air, open, amel. / excitement | PAIN, air, open, amel. / exertion agg. | PAIN, air, open, amel. / fasting, from | PAIN, air, open, amel. / inflammatory | PAIN, air, open, amel. / light agg.","ANGER, irascibility (See Irritability and Quarrelsome) | ANGER, irascibility (See Irritability and Quarrelsome) / contradiction, from | ANSWERS, abruptly, shortly, curtly / aversion to | ANXIETY | ANXIETY / afternoon | ANXIETY / evening | ANXIETY, chill, during / conscience, of (as if guilty of a crime) | ANXIETY, evening, bed, in (agg.) / night | ANXIETY, flatus, from (agg.) / waking, on | CHEERFUL, gay, happy (See Mirth) | COMPANY aversion to | CONSOLATION agg. | CONTRADICTION, is intolerant of | DELIRIUM | DELIRIUM / amel. after","[g2|MIND] ANXIETY | [g2|MIND] SHRIEKING / pain, with the | [g2|MIND] SLOWNESS / always behind hand | [g2|MIND] SLOWNESS / work, in | [g2|MIND] SPEECH, babbling (See Mouth) / waking, on | [g2|MIND] STRANGE things, impulse to do | [g2|MIND] WEEPING, looked at, when / menses, before | [g2|MIND] WRITING, aversion to / difficulty in expressing ideas when | [g2|VERTIGO] BREATH, deep, agg. | [g2|VERTIGO] INSPIRATION, deep, on | [g2|HEAD] CONGESTION, hyperæmia, etc. (See Fullness, Pulsation) | [g2|HEAD] CONGESTION, mental exertion, from / mental exertion, from | [g2|HEAD] CONGESTION, mental exertion, from / where perspiration fails in ague | [g2|HEAD] FULLNESS (See Enlarged) | [g2|HEAD] FULLNESS, morning, 10 a.m. to 10 p.m. / mental exertion, from | [g2|HEAD] HEAT | [g2|HEAD] HEAT, cold water, amel. / mental exertion, from | [g2|HEAD] HEAVINESS, afternoon, 4 p.m. / light, from strong | [g2|HEAD] HEAVINESS, afternoon, 4 p.m. / back, on | [g2|HEAD] HEAVINESS, afternoon, 4 p.m. / amel."
cadm,211,2,17,STOMACH(47); HEAD(29); EYE(27); FACE(26); MIND(19); NOSE(17),"ANXIETY, evening, bed, in (agg.) / alone, when | ANXIETY, flatus, from (agg.) / stool, before | CHOKING, clothing agg. / Œsophagus | COMPANY aversion to / alone, while agg. | CRAWLING in (See Formication, Itching) / motion agg. | PAIN, clothing about the neck agg. / cold, becoming, from | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / with head low | PAIN, morning (agg.) / morning | PAIN, temples, stooping, from (agg.) / Boring, digging, screwing | PAIN, temples, stooping, from (agg.) / Vertex | PAIN, warmth of bed agg. / behind ear | PULSATING, sides, motion agg. / Temples | RESTLESSNESS, nervousness / sunlight agg.","HEAT, cold water, amel. / extremities, with | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / with head low | PAIN, rising, from sitting, amel. / after | PAIN, rising, from sitting, amel. / sun, from exposure to | PAIN, rising, from sitting, amel. / walking, while (See Motion, Stepping)","ANGER, irascibility (See Irritability and Quarrelsome) / ailments after anger, vexation, etc. | ANXIETY | ANXIETY, chill, during / company, when in | ANXIETY, evening, bed, in (agg.) / alone, when | ANXIETY, flatus, from (agg.) / stool, before | COMPANY aversion to / alone, while agg. | COMPANY aversion to / desire for | FEAR (See Anxiety) / alone, of being (See Company) | FEAR (See Anxiety) / approaching him, of others | FEAR, warm room / work, dread of | IRRITABILITY (See Anger) | MOANING, groaning (See Lamenting) / sleep, during | RESTLESSNESS, nervousness | RESTLESSNESS, nervousness / headache, during | RESTLESSNESS, nervousness / sunlight agg.","[g2|MIND] RESTLESSNESS, nervousness / sunlight agg. | [g2|MIND] SMILING, foolish / sleep, in | [g2|EYE] OPACITY of cornea (See Spots) | [g2|EYE] PAIN, turning sideways / outward | [g2|EYE] PUPILS contracted / one, the other dilated | [g2|EYE] ULCERATION, conjunctiva / scars, from | [g2|VISION] DIM, left eye / momentary spells | [g2|NOSE] OBSTRUCTION, night / swelling, from | [g2|NOSE] ODORS, imaginary and real, acid / cancerous | [g2|NOSE] ODORS, imaginary and real, acid / ulcerous | [g2|NOSE] PAIN, drawing, night / lacerating (See Tearing) | [g2|NOSE] TENSION (See Face) / inside | [g2|FACE] ERUPTIONS, lips, lower / lips | [g2|FACE] PARALYSIS / cold, from | [g2|FACE] PARALYSIS / riding in the wind | [g2|FACE] PARALYSIS / lip, upper | [g2|MOUTH] TASTE, acid (See Sour) / pitch, like | [g2|STOMACH] NAUSEA, abdomen, on compressing / touching lips | [g2|STOMACH] RETCHING, eating, after / motion, during | [g2|STOMACH] VOMITING"
